date,year,month,quarter,season,region,country,temperature,rainfall,humidity,co2,sea_level
1996-12-01,1996,12,4,Winter,Australia-Pacific,Australia,25.89,51.65,47.5,364.69,72.11
1997-01-01,1997,1,1,Winter,Australia-Pacific,Australia,26.84,59.79,61.31,366.18,73.0
1997-02-01,1997,2,1,Winter,Australia-Pacific,Australia,25.25,72.25,57.72,367.09,68.73
1997-03-01,1997,3,1,Spring,Australia-Pacific,Australia,26.05,69.68,57.15,367.17,69.93
1997-04-01,1997,4,2,Spring,Australia-Pacific,Australia,21.31,45.83,50.4,367.22,73.98
1997-05-01,1997,5,2,Spring,Australia-Pacific,Australia,19.86,33.71,59.95,366.81,69.62
1997-06-01,1997,6,2,Summer,Australia-Pacific,Australia,16.39,41.09,56.83,367.8,70.55
1997-07-01,1997,7,3,Summer,Australia-Pacific,Australia,16.9,31.02,58.25,366.31,70.61
1997-08-01,1997,8,3,Summer,Australia-Pacific,Australia,17.94,25.14,58.95,366.74,72.04
1997-09-01,1997,9,3,Autumn,Australia-Pacific,Australia,19.9,28.69,47.74,366.59,68.36
1997-10-01,1997,10,4,Autumn,Australia-Pacific,Australia,19.59,36.93,56.0,367.11,67.42
1997-11-01,1997,11,4,Autumn,Australia-Pacific,Australia,24.05,58.93,52.13,366.91,75.63
1997-12-01,1997,12,4,Winter,Australia-Pacific,Australia,24.73,57.37,60.81,366.56,75.0
1998-01-01,1998,1,1,Winter,Australia-Pacific,Australia,27.06,80.44,57.91,369.04,73.32
1998-02-01,1998,2,1,Winter,Australia-Pacific,Australia,25.12,46.18,60.09,368.7,71.49
1998-03-01,1998,3,1,Spring,Australia-Pacific,Australia,25.78,40.61,57.31,368.47,68.43
1998-04-01,1998,4,2,Spring,Australia-Pacific,Australia,22.2,65.52,50.39,368.55,68.95
1998-05-01,1998,5,2,Spring,Australia-Pacific,Australia,19.0,13.96,59.71,367.95,76.22
1998-06-01,1998,6,2,Summer,Australia-Pacific,Australia,17.15,30.84,57.06,367.65,73.03
1998-07-01,1998,7,3,Summer,Australia-Pacific,Australia,16.95,41.14,50.2,367.97,74.4
1998-08-01,1998,8,3,Summer,Australia-Pacific,Australia,18.39,21.9,48.82,368.17,69.38
1998-09-01,1998,9,3,Autumn,Australia-Pacific,Australia,19.35,18.11,59.86,368.39,75.43
1998-10-01,1998,10,4,Autumn,Australia-Pacific,Australia,19.39,16.45,61.46,368.01,68.02
1998-11-01,1998,11,4,Autumn,Australia-Pacific,Australia,23.85,48.01,54.21,368.49,73.42
1998-12-01,1998,12,4,Winter,Australia-Pacific,Australia,26.36,70.72,54.93,368.28,74.83
1999-01-01,1999,1,1,Winter,Australia-Pacific,Australia,27.01,47.26,54.54,370.08,72.24
1999-02-01,1999,2,1,Winter,Australia-Pacific,Australia,25.77,36.68,40.59,369.75,74.39
1999-03-01,1999,3,1,Spring,Australia-Pacific,Australia,23.63,62.15,49.77,370.27,75.26
1999-04-01,1999,4,2,Spring,Australia-Pacific,Australia,23.93,42.72,47.77,370.32,79.1
1999-05-01,1999,5,2,Spring,Australia-Pacific,Australia,18.39,39.46,59.3,369.81,66.74
1999-06-01,1999,6,2,Summer,Australia-Pacific,Australia,17.35,22.02,62.65,369.86,72.77
1999-07-01,1999,7,3,Summer,Australia-Pacific,Australia,16.27,31.06,55.28,369.58,74.8
1999-08-01,1999,8,3,Summer,Australia-Pacific,Australia,16.94,0.0,58.34,370.13,74.6
1999-09-01,1999,9,3,Autumn,Australia-Pacific,Australia,18.74,30.6,59.1,369.65,76.58
1999-10-01,1999,10,4,Autumn,Australia-Pacific,Australia,20.12,40.34,55.13,370.3,71.25
1999-11-01,1999,11,4,Autumn,Australia-Pacific,Australia,23.41,27.64,52.17,370.0,68.61
1999-12-01,1999,12,4,Winter,Australia-Pacific,Australia,25.84,61.6,54.49,369.93,69.49
2000-01-01,2000,1,1,Winter,Australia-Pacific,Australia,26.54,58.86,54.18,371.56,74.67
2000-02-01,2000,2,1,Winter,Australia-Pacific,Australia,25.85,41.0,59.87,371.01,76.07
2000-03-01,2000,3,1,Spring,Australia-Pacific,Australia,25.83,58.77,57.55,371.6,75.21
2000-04-01,2000,4,2,Spring,Australia-Pacific,Australia,21.64,32.83,57.87,371.66,77.96
2000-05-01,2000,5,2,Spring,Australia-Pacific,Australia,20.65,29.52,55.96,370.74,82.37
2000-06-01,2000,6,2,Summer,Australia-Pacific,Australia,17.28,37.4,52.93,371.32,74.89
2000-07-01,2000,7,3,Summer,Australia-Pacific,Australia,15.8,0.0,60.8,371.72,72.85
2000-08-01,2000,8,3,Summer,Australia-Pacific,Australia,17.71,39.55,51.53,371.66,78.62
2000-09-01,2000,9,3,Autumn,Australia-Pacific,Australia,18.02,38.17,56.82,372.25,77.27
2000-10-01,2000,10,4,Autumn,Australia-Pacific,Australia,20.94,34.56,65.12,371.36,77.36
2000-11-01,2000,11,4,Autumn,Australia-Pacific,Australia,23.86,58.52,60.65,371.49,74.38
2000-12-01,2000,12,4,Winter,Australia-Pacific,Australia,25.87,32.41,55.5,371.53,73.15
2001-01-01,2001,1,1,Winter,Australia-Pacific,Australia,25.27,61.09,56.66,373.26,74.23
2001-02-01,2001,2,1,Winter,Australia-Pacific,Australia,26.51,51.76,59.32,372.71,80.65
2001-03-01,2001,3,1,Spring,Australia-Pacific,Australia,25.63,46.46,57.02,373.41,74.12
2001-04-01,2001,4,2,Spring,Australia-Pacific,Australia,21.98,38.31,65.13,372.62,82.11
2001-05-01,2001,5,2,Spring,Australia-Pacific,Australia,19.62,31.07,61.09,373.91,78.46
2001-06-01,2001,6,2,Summer,Australia-Pacific,Australia,18.49,17.7,52.35,372.56,75.65
2001-07-01,2001,7,3,Summer,Australia-Pacific,Australia,17.18,29.66,63.64,373.92,76.79
2001-08-01,2001,8,3,Summer,Australia-Pacific,Australia,16.89,43.81,61.32,373.28,79.31
2001-09-01,2001,9,3,Autumn,Australia-Pacific,Australia,19.53,19.09,48.91,373.08,76.59
2001-10-01,2001,10,4,Autumn,Australia-Pacific,Australia,21.48,36.6,46.48,372.26,79.41
2001-11-01,2001,11,4,Autumn,Australia-Pacific,Australia,23.57,42.09,52.21,372.73,74.38
2001-12-01,2001,12,4,Winter,Australia-Pacific,Australia,26.98,51.0,58.17,373.41,78.15
2002-01-01,2002,1,1,Winter,Australia-Pacific,Australia,27.27,58.68,61.82,375.03,81.67
2002-02-01,2002,2,1,Winter,Australia-Pacific,Australia,25.53,57.32,45.82,375.26,76.93
2002-03-01,2002,3,1,Spring,Australia-Pacific,Australia,24.15,27.77,54.82,374.59,84.27
2002-04-01,2002,4,2,Spring,Australia-Pacific,Australia,23.01,29.52,46.67,373.79,75.72
2002-05-01,2002,5,2,Spring,Australia-Pacific,Australia,18.79,35.89,54.28,374.71,75.95
2002-06-01,2002,6,2,Summer,Australia-Pacific,Australia,17.75,11.35,54.56,375.03,77.7
2002-07-01,2002,7,3,Summer,Australia-Pacific,Australia,17.11,2.09,44.71,374.83,81.94
2002-08-01,2002,8,3,Summer,Australia-Pacific,Australia,17.24,56.28,47.78,374.43,79.22
2002-09-01,2002,9,3,Autumn,Australia-Pacific,Australia,19.49,24.14,49.7,374.95,79.2
2002-10-01,2002,10,4,Autumn,Australia-Pacific,Australia,21.03,44.54,54.32,374.64,78.27
2002-11-01,2002,11,4,Autumn,Australia-Pacific,Australia,23.47,33.37,52.37,374.71,73.19
2002-12-01,2002,12,4,Winter,Australia-Pacific,Australia,26.95,54.23,49.67,375.35,78.92
2003-01-01,2003,1,1,Winter,Australia-Pacific,Australia,25.69,78.38,61.77,375.94,79.44
2003-02-01,2003,2,1,Winter,Australia-Pacific,Australia,25.92,30.1,56.62,376.64,82.38
2003-03-01,2003,3,1,Spring,Australia-Pacific,Australia,24.57,56.92,49.32,377.03,78.09
2003-04-01,2003,4,2,Spring,Australia-Pacific,Australia,21.9,28.72,51.76,376.22,79.71
2003-05-01,2003,5,2,Spring,Australia-Pacific,Australia,19.91,21.14,55.83,375.86,82.61
2003-06-01,2003,6,2,Summer,Australia-Pacific,Australia,18.2,29.18,51.75,376.42,77.75
2003-07-01,2003,7,3,Summer,Australia-Pacific,Australia,16.83,25.08,68.15,375.81,72.41
2003-08-01,2003,8,3,Summer,Australia-Pacific,Australia,16.97,7.55,51.37,375.78,77.7
2003-09-01,2003,9,3,Autumn,Australia-Pacific,Australia,18.37,43.68,54.76,376.73,80.53
2003-10-01,2003,10,4,Autumn,Australia-Pacific,Australia,22.01,34.43,62.97,376.49,78.07
2003-11-01,2003,11,4,Autumn,Australia-Pacific,Australia,24.58,45.34,53.99,376.34,82.66
2003-12-01,2003,12,4,Winter,Australia-Pacific,Australia,24.67,49.56,58.41,376.4,77.03
2004-01-01,2004,1,1,Winter,Australia-Pacific,Australia,24.94,80.1,54.06,378.51,84.41
2004-02-01,2004,2,1,Winter,Australia-Pacific,Australia,25.69,22.23,52.69,377.89,83.38
2004-03-01,2004,3,1,Spring,Australia-Pacific,Australia,23.73,47.26,55.89,378.29,81.1
2004-04-01,2004,4,2,Spring,Australia-Pacific,Australia,22.75,39.66,59.38,377.57,72.81
2004-05-01,2004,5,2,Spring,Australia-Pacific,Australia,19.66,28.57,49.21,377.3,80.3
2004-06-01,2004,6,2,Summer,Australia-Pacific,Australia,17.6,30.46,43.57,377.2,85.41
2004-07-01,2004,7,3,Summer,Australia-Pacific,Australia,16.68,26.97,48.33,377.9,80.9
2004-08-01,2004,8,3,Summer,Australia-Pacific,Australia,17.01,10.68,50.66,378.69,80.97
2004-09-01,2004,9,3,Autumn,Australia-Pacific,Australia,19.78,29.01,53.44,377.65,86.06
2004-10-01,2004,10,4,Autumn,Australia-Pacific,Australia,21.62,28.22,53.03,378.33,73.51
2004-11-01,2004,11,4,Autumn,Australia-Pacific,Australia,24.37,51.83,51.25,377.96,83.53
2004-12-01,2004,12,4,Winter,Australia-Pacific,Australia,25.36,64.69,56.49,377.84,82.34
2005-01-01,2005,1,1,Winter,Australia-Pacific,Australia,27.27,88.03,58.05,379.82,84.22
2005-02-01,2005,2,1,Winter,Australia-Pacific,Australia,27.74,35.31,46.31,379.56,85.62
2005-03-01,2005,3,1,Spring,Australia-Pacific,Australia,22.66,44.96,54.1,379.8,84.93
2005-04-01,2005,4,2,Spring,Australia-Pacific,Australia,21.08,22.23,50.97,379.8,84.77
2005-05-01,2005,5,2,Spring,Australia-Pacific,Australia,19.39,33.34,49.71,380.32,85.37
2005-06-01,2005,6,2,Summer,Australia-Pacific,Australia,18.3,46.8,60.08,379.51,83.09
2005-07-01,2005,7,3,Summer,Australia-Pacific,Australia,17.82,27.34,51.25,380.29,80.83
2005-08-01,2005,8,3,Summer,Australia-Pacific,Australia,16.19,41.91,51.34,379.67,89.09
2005-09-01,2005,9,3,Autumn,Australia-Pacific,Australia,18.18,30.98,62.42,379.77,83.1
2005-10-01,2005,10,4,Autumn,Australia-Pacific,Australia,23.16,37.03,56.98,380.16,86.59
2005-11-01,2005,11,4,Autumn,Australia-Pacific,Australia,25.15,33.53,61.14,379.57,81.41
2005-12-01,2005,12,4,Winter,Australia-Pacific,Australia,26.48,56.43,64.34,379.65,81.3
2006-01-01,2006,1,1,Winter,Australia-Pacific,Australia,26.01,57.89,48.27,380.81,84.53
2006-02-01,2006,2,1,Winter,Australia-Pacific,Australia,26.02,63.3,51.31,380.11,80.21
2006-03-01,2006,3,1,Spring,Australia-Pacific,Australia,24.6,37.49,48.82,381.88,87.75
2006-04-01,2006,4,2,Spring,Australia-Pacific,Australia,22.42,38.99,53.67,380.6,88.36
2006-05-01,2006,5,2,Spring,Australia-Pacific,Australia,20.52,6.19,56.13,381.23,84.3
2006-06-01,2006,6,2,Summer,Australia-Pacific,Australia,19.31,54.71,53.11,381.01,84.25
2006-07-01,2006,7,3,Summer,Australia-Pacific,Australia,16.42,15.21,57.53,381.88,89.92
2006-08-01,2006,8,3,Summer,Australia-Pacific,Australia,18.11,0.0,45.68,381.53,90.12
2006-09-01,2006,9,3,Autumn,Australia-Pacific,Australia,19.65,27.59,61.76,381.4,88.68
2006-10-01,2006,10,4,Autumn,Australia-Pacific,Australia,20.0,42.64,63.87,381.31,88.11
2006-11-01,2006,11,4,Autumn,Australia-Pacific,Australia,24.21,46.36,62.01,380.83,82.96
2006-12-01,2006,12,4,Winter,Australia-Pacific,Australia,25.98,54.3,46.95,381.39,84.77
2007-01-01,2007,1,1,Winter,Australia-Pacific,Australia,27.43,31.27,59.29,383.23,88.21
2007-02-01,2007,2,1,Winter,Australia-Pacific,Australia,26.38,65.12,61.36,382.91,88.69
2007-03-01,2007,3,1,Spring,Australia-Pacific,Australia,25.88,54.78,51.0,383.21,86.52
2007-04-01,2007,4,2,Spring,Australia-Pacific,Australia,22.51,37.37,59.84,383.4,86.97
2007-05-01,2007,5,2,Spring,Australia-Pacific,Australia,21.21,33.61,62.01,382.78,85.42
2007-06-01,2007,6,2,Summer,Australia-Pacific,Australia,19.2,21.7,51.73,382.2,90.7
2007-07-01,2007,7,3,Summer,Australia-Pacific,Australia,18.03,31.79,50.08,382.7,85.99
2007-08-01,2007,8,3,Summer,Australia-Pacific,Australia,16.77,22.97,57.53,382.46,87.77
2007-09-01,2007,9,3,Autumn,Australia-Pacific,Australia,17.93,53.08,53.04,383.05,87.46
2007-10-01,2007,10,4,Autumn,Australia-Pacific,Australia,21.71,23.7,51.2,382.4,86.97
2007-11-01,2007,11,4,Autumn,Australia-Pacific,Australia,25.2,50.57,50.5,382.73,86.65
2007-12-01,2007,12,4,Winter,Australia-Pacific,Australia,26.09,53.8,58.82,382.41,85.86
2008-01-01,2008,1,1,Winter,Australia-Pacific,Australia,27.55,64.55,61.4,384.87,84.45
2008-02-01,2008,2,1,Winter,Australia-Pacific,Australia,26.6,47.45,49.01,383.98,87.63
2008-03-01,2008,3,1,Spring,Australia-Pacific,Australia,24.44,37.17,54.93,385.28,83.35
2008-04-01,2008,4,2,Spring,Australia-Pacific,Australia,23.36,35.76,52.81,383.49,90.82
2008-05-01,2008,5,2,Spring,Australia-Pacific,Australia,18.85,42.18,63.71,383.79,92.03
2008-06-01,2008,6,2,Summer,Australia-Pacific,Australia,17.8,2.23,48.98,384.37,89.73
2008-07-01,2008,7,3,Summer,Australia-Pacific,Australia,15.74,27.41,59.12,384.7,87.29
2008-08-01,2008,8,3,Summer,Australia-Pacific,Australia,17.9,43.08,59.26,384.66,88.87
2008-09-01,2008,9,3,Autumn,Australia-Pacific,Australia,19.22,35.01,51.18,384.74,83.94
2008-10-01,2008,10,4,Autumn,Australia-Pacific,Australia,21.06,37.78,57.35,384.56,93.0
2008-11-01,2008,11,4,Autumn,Australia-Pacific,Australia,24.29,35.74,54.27,384.17,90.09
2008-12-01,2008,12,4,Winter,Australia-Pacific,Australia,25.58,51.74,63.11,384.37,85.37
2009-01-01,2009,1,1,Winter,Australia-Pacific,Australia,26.58,29.58,54.71,386.56,86.61
2009-02-01,2009,2,1,Winter,Australia-Pacific,Australia,25.31,45.54,59.61,386.58,91.51
2009-03-01,2009,3,1,Spring,Australia-Pacific,Australia,23.72,44.71,63.95,385.78,90.59
2009-04-01,2009,4,2,Spring,Australia-Pacific,Australia,22.72,15.98,59.99,386.24,84.19
2009-05-01,2009,5,2,Spring,Australia-Pacific,Australia,18.96,18.94,58.74,385.6,91.37
2009-06-01,2009,6,2,Summer,Australia-Pacific,Australia,17.67,30.17,57.48,386.01,90.11
2009-07-01,2009,7,3,Summer,Australia-Pacific,Australia,17.19,29.81,53.95,385.73,95.81
2009-08-01,2009,8,3,Summer,Australia-Pacific,Australia,17.26,46.95,51.57,386.22,95.52
2009-09-01,2009,9,3,Autumn,Australia-Pacific,Australia,19.06,22.86,52.85,385.89,91.13
2009-10-01,2009,10,4,Autumn,Australia-Pacific,Australia,21.43,32.81,64.77,385.82,88.31
2009-11-01,2009,11,4,Autumn,Australia-Pacific,Australia,24.88,55.96,62.06,386.67,91.21
2009-12-01,2009,12,4,Winter,Australia-Pacific,Australia,26.19,29.37,50.31,385.98,86.62
2010-01-01,2010,1,1,Winter,Australia-Pacific,Australia,25.67,59.36,58.88,387.4,94.5
2010-02-01,2010,2,1,Winter,Australia-Pacific,Australia,26.89,68.94,65.87,388.55,94.01
2010-03-01,2010,3,1,Spring,Australia-Pacific,Australia,24.37,45.8,62.87,387.14,96.15
2010-04-01,2010,4,2,Spring,Australia-Pacific,Australia,22.43,38.95,50.96,386.97,90.97
2010-05-01,2010,5,2,Spring,Australia-Pacific,Australia,20.96,22.37,63.06,387.27,88.61
2010-06-01,2010,6,2,Summer,Australia-Pacific,Australia,18.02,38.08,55.94,387.56,96.62
2010-07-01,2010,7,3,Summer,Australia-Pacific,Australia,17.04,20.88,49.34,388.01,90.53
2010-08-01,2010,8,3,Summer,Australia-Pacific,Australia,17.37,42.92,65.27,387.6,91.4
2010-09-01,2010,9,3,Autumn,Australia-Pacific,Australia,19.33,25.58,53.22,387.36,94.54
2010-10-01,2010,10,4,Autumn,Australia-Pacific,Australia,21.42,55.92,54.42,387.35,95.64
2010-11-01,2010,11,4,Autumn,Australia-Pacific,Australia,24.3,43.36,55.17,388.09,92.73
2010-12-01,2010,12,4,Winter,Australia-Pacific,Australia,27.37,50.95,60.45,387.6,94.46
2011-01-01,2011,1,1,Winter,Australia-Pacific,Australia,27.61,46.21,55.36,389.48,96.81
2011-02-01,2011,2,1,Winter,Australia-Pacific,Australia,27.39,55.37,62.7,388.84,88.97
2011-03-01,2011,3,1,Spring,Australia-Pacific,Australia,24.53,60.61,49.57,388.51,88.3
2011-04-01,2011,4,2,Spring,Australia-Pacific,Australia,23.14,17.11,57.75,388.97,91.15
2011-05-01,2011,5,2,Spring,Australia-Pacific,Australia,19.25,34.19,51.23,389.1,94.66
2011-06-01,2011,6,2,Summer,Australia-Pacific,Australia,18.31,41.44,55.82,388.68,94.85
2011-07-01,2011,7,3,Summer,Australia-Pacific,Australia,17.49,24.63,53.56,390.09,89.58
2011-08-01,2011,8,3,Summer,Australia-Pacific,Australia,18.01,42.9,53.29,389.03,92.25
2011-09-01,2011,9,3,Autumn,Australia-Pacific,Australia,19.36,43.24,54.01,390.34,92.1
2011-10-01,2011,10,4,Autumn,Australia-Pacific,Australia,22.54,45.35,55.54,389.69,88.66
2011-11-01,2011,11,4,Autumn,Australia-Pacific,Australia,24.62,35.65,52.82,388.91,90.57
2011-12-01,2011,12,4,Winter,Australia-Pacific,Australia,25.21,59.07,54.67,388.98,95.73
2012-01-01,2012,1,1,Winter,Australia-Pacific,Australia,27.25,55.0,70.25,391.11,102.44
2012-02-01,2012,2,1,Winter,Australia-Pacific,Australia,26.17,57.27,48.81,390.57,93.36
2012-03-01,2012,3,1,Spring,Australia-Pacific,Australia,27.0,35.93,53.83,390.12,96.71
2012-04-01,2012,4,2,Spring,Australia-Pacific,Australia,21.93,48.03,46.06,390.65,89.57
2012-05-01,2012,5,2,Spring,Australia-Pacific,Australia,19.66,27.74,52.0,390.5,98.02
2012-06-01,2012,6,2,Summer,Australia-Pacific,Australia,19.51,33.69,50.7,390.73,94.05
2012-07-01,2012,7,3,Summer,Australia-Pacific,Australia,17.69,30.77,47.11,391.14,98.01
2012-08-01,2012,8,3,Summer,Australia-Pacific,Australia,18.78,22.48,56.5,390.23,94.95
2012-09-01,2012,9,3,Autumn,Australia-Pacific,Australia,19.68,23.17,56.71,390.77,93.76
2012-10-01,2012,10,4,Autumn,Australia-Pacific,Australia,22.58,35.18,55.66,390.11,96.67
2012-11-01,2012,11,4,Autumn,Australia-Pacific,Australia,23.97,57.54,48.44,390.87,88.56
2012-12-01,2012,12,4,Winter,Australia-Pacific,Australia,26.94,51.71,57.0,390.46,92.26
2013-01-01,2013,1,1,Winter,Australia-Pacific,Australia,26.61,61.02,57.88,392.42,93.95
2013-02-01,2013,2,1,Winter,Australia-Pacific,Australia,27.88,58.38,51.89,392.47,97.53
2013-03-01,2013,3,1,Spring,Australia-Pacific,Australia,24.65,41.15,59.92,392.99,90.66
2013-04-01,2013,4,2,Spring,Australia-Pacific,Australia,23.55,36.26,56.18,392.84,88.8
2013-05-01,2013,5,2,Spring,Australia-Pacific,Australia,20.66,48.36,51.56,391.74,101.68
2013-06-01,2013,6,2,Summer,Australia-Pacific,Australia,16.58,34.76,60.12,392.46,98.46
2013-07-01,2013,7,3,Summer,Australia-Pacific,Australia,16.84,33.08,51.46,392.07,96.87
2013-08-01,2013,8,3,Summer,Australia-Pacific,Australia,16.53,36.84,42.6,392.45,98.13
2013-09-01,2013,9,3,Autumn,Australia-Pacific,Australia,18.81,15.27,52.96,392.56,97.8
2013-10-01,2013,10,4,Autumn,Australia-Pacific,Australia,20.72,39.64,56.31,392.39,93.8
2013-11-01,2013,11,4,Autumn,Australia-Pacific,Australia,24.47,57.07,57.68,392.46,101.69
2013-12-01,2013,12,4,Winter,Australia-Pacific,Australia,26.63,42.93,50.81,392.37,92.45
2014-01-01,2014,1,1,Winter,Australia-Pacific,Australia,26.72,64.63,60.86,393.28,98.72
2014-02-01,2014,2,1,Winter,Australia-Pacific,Australia,26.47,54.5,55.71,393.89,102.6
2014-03-01,2014,3,1,Spring,Australia-Pacific,Australia,25.74,73.29,54.95,393.74,95.52
2014-04-01,2014,4,2,Spring,Australia-Pacific,Australia,22.27,45.43,59.34,394.17,96.43
2014-05-01,2014,5,2,Spring,Australia-Pacific,Australia,19.58,57.33,50.84,394.47,99.64
2014-06-01,2014,6,2,Summer,Australia-Pacific,Australia,17.38,13.61,51.56,394.07,95.69
2014-07-01,2014,7,3,Summer,Australia-Pacific,Australia,18.23,24.26,58.5,394.15,103.29
2014-08-01,2014,8,3,Summer,Australia-Pacific,Australia,17.38,30.65,47.99,393.94,101.84
2014-09-01,2014,9,3,Autumn,Australia-Pacific,Australia,19.6,62.03,57.6,393.68,99.79
2014-10-01,2014,10,4,Autumn,Australia-Pacific,Australia,20.48,27.7,48.91,393.91,98.24
2014-11-01,2014,11,4,Autumn,Australia-Pacific,Australia,25.28,43.69,49.99,394.52,89.59
2014-12-01,2014,12,4,Winter,Australia-Pacific,Australia,26.55,56.87,54.95,394.1,98.76
2015-01-01,2015,1,1,Winter,Australia-Pacific,Australia,27.35,50.52,47.7,395.48,97.01
2015-02-01,2015,2,1,Winter,Australia-Pacific,Australia,26.0,69.39,62.79,395.96,102.96
2015-03-01,2015,3,1,Spring,Australia-Pacific,Australia,24.87,58.45,56.78,396.28,97.33
2015-04-01,2015,4,2,Spring,Australia-Pacific,Australia,23.18,19.25,58.39,394.81,96.45
2015-05-01,2015,5,2,Spring,Australia-Pacific,Australia,19.14,34.84,56.77,396.48,99.81
2015-06-01,2015,6,2,Summer,Australia-Pacific,Australia,18.53,31.38,58.44,395.56,103.39
2015-07-01,2015,7,3,Summer,Australia-Pacific,Australia,16.3,0.0,57.09,394.78,104.02
2015-08-01,2015,8,3,Summer,Australia-Pacific,Australia,17.32,15.49,68.5,395.49,99.46
2015-09-01,2015,9,3,Autumn,Australia-Pacific,Australia,20.02,42.3,60.7,394.97,101.7
2015-10-01,2015,10,4,Autumn,Australia-Pacific,Australia,21.39,26.05,55.24,394.78,102.86
2015-11-01,2015,11,4,Autumn,Australia-Pacific,Australia,24.18,38.67,54.31,395.43,103.51
2015-12-01,2015,12,4,Winter,Australia-Pacific,Australia,25.73,48.94,53.92,395.07,100.56
2016-01-01,2016,1,1,Winter,Australia-Pacific,Australia,26.46,39.82,57.63,397.72,101.9
2016-02-01,2016,2,1,Winter,Australia-Pacific,Australia,26.5,52.34,52.42,397.57,102.04
2016-03-01,2016,3,1,Spring,Australia-Pacific,Australia,23.22,60.95,59.77,397.34,93.49
2016-04-01,2016,4,2,Spring,Australia-Pacific,Australia,22.7,47.88,56.9,397.18,104.44
2016-05-01,2016,5,2,Spring,Australia-Pacific,Australia,20.23,47.51,55.81,397.13,104.43
2016-06-01,2016,6,2,Summer,Australia-Pacific,Australia,17.68,14.66,55.02,397.34,104.53
2016-07-01,2016,7,3,Summer,Australia-Pacific,Australia,17.81,26.09,54.14,396.86,102.5
2016-08-01,2016,8,3,Summer,Australia-Pacific,Australia,16.53,29.55,69.25,396.5,102.23
2016-09-01,2016,9,3,Autumn,Australia-Pacific,Australia,19.76,38.24,50.17,397.31,100.15
2016-10-01,2016,10,4,Autumn,Australia-Pacific,Australia,20.56,50.91,58.32,396.71,100.12
2016-11-01,2016,11,4,Autumn,Australia-Pacific,Australia,23.99,23.14,58.81,397.42,100.76
2016-12-01,2016,12,4,Winter,Australia-Pacific,Australia,26.55,55.53,56.22,396.56,103.22
2017-01-01,2017,1,1,Winter,Australia-Pacific,Australia,26.15,67.6,49.68,398.18,103.34
2017-02-01,2017,2,1,Winter,Australia-Pacific,Australia,26.56,55.39,50.54,398.78,104.32
2017-03-01,2017,3,1,Spring,Australia-Pacific,Australia,25.75,47.47,52.0,398.16,98.84
2017-04-01,2017,4,2,Spring,Australia-Pacific,Australia,22.97,46.59,50.55,398.8,102.9
2017-05-01,2017,5,2,Spring,Australia-Pacific,Australia,20.69,43.06,43.67,399.11,104.18
2017-06-01,2017,6,2,Summer,Australia-Pacific,Australia,17.6,22.53,55.16,398.5,100.61
2017-07-01,2017,7,3,Summer,Australia-Pacific,Australia,16.61,13.11,61.73,398.72,110.18
2017-08-01,2017,8,3,Summer,Australia-Pacific,Australia,18.06,37.11,49.69,398.61,103.64
2017-09-01,2017,9,3,Autumn,Australia-Pacific,Australia,19.03,25.29,57.1,398.88,99.42
2017-10-01,2017,10,4,Autumn,Australia-Pacific,Australia,21.87,45.63,52.05,398.42,104.75
2017-11-01,2017,11,4,Autumn,Australia-Pacific,Australia,22.52,45.03,63.17,397.66,105.89
2017-12-01,2017,12,4,Winter,Australia-Pacific,Australia,27.01,34.8,57.6,399.1,99.9
2018-01-01,2018,1,1,Winter,Australia-Pacific,Australia,26.52,58.85,59.89,400.08,104.98
2018-02-01,2018,2,1,Winter,Australia-Pacific,Australia,26.12,54.33,60.23,400.34,104.03
2018-03-01,2018,3,1,Spring,Australia-Pacific,Australia,24.88,34.27,50.03,400.78,110.01
2018-04-01,2018,4,2,Spring,Australia-Pacific,Australia,21.41,43.8,59.29,399.82,103.69
2018-05-01,2018,5,2,Spring,Australia-Pacific,Australia,19.74,56.97,63.26,399.93,100.72
2018-06-01,2018,6,2,Summer,Australia-Pacific,Australia,18.6,36.54,61.22,399.88,107.27
2018-07-01,2018,7,3,Summer,Australia-Pacific,Australia,16.61,35.35,54.81,401.06,106.44
2018-08-01,2018,8,3,Summer,Australia-Pacific,Australia,17.57,31.1,54.5,399.84,110.88
2018-09-01,2018,9,3,Autumn,Australia-Pacific,Australia,20.73,29.14,58.5,401.12,108.81
2018-10-01,2018,10,4,Autumn,Australia-Pacific,Australia,21.45,37.07,46.41,400.61,108.83
2018-11-01,2018,11,4,Autumn,Australia-Pacific,Australia,25.41,54.39,56.76,399.9,106.06
2018-12-01,2018,12,4,Winter,Australia-Pacific,Australia,26.15,61.04,51.18,400.51,109.07
2019-01-01,2019,1,1,Winter,Australia-Pacific,Australia,27.36,62.92,59.57,402.61,106.46
2019-02-01,2019,2,1,Winter,Australia-Pacific,Australia,27.04,74.33,58.35,401.1,104.63
2019-03-01,2019,3,1,Spring,Australia-Pacific,Australia,25.49,39.62,62.2,402.64,105.01
2019-04-01,2019,4,2,Spring,Australia-Pacific,Australia,22.0,31.14,52.91,402.51,103.67
2019-05-01,2019,5,2,Spring,Australia-Pacific,Australia,20.75,50.17,59.1,402.07,106.29
2019-06-01,2019,6,2,Summer,Australia-Pacific,Australia,19.43,25.95,59.74,401.84,101.26
2019-07-01,2019,7,3,Summer,Australia-Pacific,Australia,16.98,24.9,54.28,401.64,108.66
